0	1177	0
2	1178	1
3	1179	1
4	1180	1
5	1181	1
6	1182	1
6	1183	2
6	1184	2
7	1185	1
7	1186	1
7	1187	1
8	1188	1
8	1189	2
11	1190	2
12	1191	4
13	1192	1
14	1193	1
15	1194	5
15	1195	5
17	1196	1
17	1197	5
18	1198	2
19	1199	6
19	1200	6
19	1201	6
19	1202	5
19	1203	6
19	1204	6
20	1205	7
20	1206	7
20	1207	7
20	1208	7
20	1209	7
20	1210	7
20	1211	7
20	1212	2
21	1213	2
21	1214	2
21	1215	2
21	1216	2
21	1217	2
21	1218	2
21	1219	2
21	1220	2
21	1221	2
22	1222	0
22	1223	8
22	1224	9
22	1225	6
22	1226	6
22	1227	6
22	1228	6
22	1229	6
22	1230	6
22	1231	6
22	1232	6
22	1233	6
22	1234	6
22	1235	6
22	1236	6
22	1237	10
22	1238	10
22	1239	6
22	1240	6
22	1241	6
22	1242	6
22	1243	11
22	1244	11
22	1245	11
23	1246	3
23	1247	9
23	1248	7
24	1249	5
24	1250	2
24	1251	2
24	1252	2
25	1253	3
25	1254	2
26	1255	9
26	1256	9
26	1257	9
26	1258	9
26	1259	3
26	1260	9
26	1261	9
26	1262	9
26	1263	1
26	1264	7
26	1265	9
26	1266	7
26	1267	9
26	1268	9
26	1269	7
26	1270	7
26	1271	9
26	1272	12
26	1273	9
26	1274	12
26	1275	7
26	1276	12
26	1277	12
26	1278	9
26	1279	9
27	1280	9
28	1281	2
28	1282	2
28	1283	2
28	1284	2
28	1285	2
28	1286	7
28	1287	2
28	1288	2
28	1289	2
28	1290	2
29	1291	5
29	1292	5
29	1293	2
30	1294	9
30	1295	9
30	1296	9
30	1297	9
30	1298	9
30	1299	9
30	1300	9
30	1301	9
30	1302	9
30	1303	9
30	1304	9
30	1305	9
30	1306	9
30	1307	12
30	1308	12
31	1309	12
32	1310	0
32	1311	0
33	1312	0
33	1313	2
34	1314	3
35	1315	0
35	1316	2
36	1317	1
37	1318	1
37	1319	1
38	1320	0
38	1321	13
38	1322	1
38	1323	1
38	1324	14
38	1325	1
38	1326	1
38	1327	5
38	1328	0
38	1329	0
38	1330	2
39	1331	1
39	1332	1
39	1333	1
39	1334	1
39	1335	1
39	1336	1
39	1337	1
39	1338	1
39	1339	1
39	1340	1
39	1341	0
39	1342	0
40	1343	1
40	1344	1
41	1345	15
41	1346	12
42	1347	3
43	1348	0
43	1349	0
44	1350	0
45	1351	3
45	1352	0
46	1353	1
46	1354	3
46	1355	1
46	1356	1
46	1357	3
46	1358	0
46	1359	0
46	1360	1
46	1361	0
46	1362	14
46	1363	14
47	1364	3
48	1365	0
49	1366	1
49	1367	0
49	1368	3
49	1369	0
49	1370	16
49	1371	16
49	1372	2
49	1373	2
49	1374	2
50	1375	0
50	1376	0
50	1377	0
51	1378	0
51	1379	1
52	1380	17
52	1381	17
52	1382	17
53	1383	0
53	1384	3
53	1385	2
53	1386	0
53	1387	0
53	1388	0
53	1389	0
53	1390	0
53	1391	0
53	1392	0
53	1393	3
53	1394	3
53	1395	0
54	1396	1
55	1397	0
55	1398	0
55	1399	0
56	1400	0
56	1401	0
57	1402	0
57	1403	0
57	1404	2
58	1405	0
58	1406	2
60	1407	3
62	1408	1
62	1409	1
62	1410	1
62	1411	1
62	1412	1
62	1413	3
62	1414	3
62	1415	2
62	1416	0
63	1417	1
63	1418	1
63	1419	1
64	1420	0
65	1421	0
65	1422	0
66	1423	5
67	1424	1
67	1425	1
67	1426	1
67	1427	1
68	1428	0
68	1429	0
68	1430	0
69	1431	0
70	1432	0
70	1433	0
70	1434	19
72	1435	0
